Product Name,Price
Prada_1,€ 330
Prada_2,€ 330
Prada_3,€ 330
Prada_4,€ 370
Prada_5,€ 370
Prada_6,€ 370
Prada_7,€ 370
Prada_8,€ 370
Prada_9,€ 410
Prada_10,€ 410
Prada_11,€ 470
Prada_12,€ 470
Prada_13,€ 390
Prada_14,€ 390
Prada_15,€ 440
Prada_16,€ 390
Prada_17,€ 440
Prada_18,€ 390
Prada_19,€ 390
Prada_20,€ 390
Prada_21,€ 410
Prada_22,€ 370
Prada_23,€ 370
Prada_24,€ 370
Prada_25,€ 410
Prada_26,€ 370
Prada_27,€ 390
Prada_28,€ 440
Prada_29,€ 440
Prada_30,€ 390
Prada_31,€ 390
Prada_32,€ 390
Prada_33,€ 390
Prada_34,€ 390
Prada_35,€ 390
Prada_36,€ 440
Prada_37,€ 390
Prada_38,€ 410
Prada_39,€ 410
Prada_40,€ 410
Prada_41,€ 410
Prada_42,€ 410
Prada_43,€ 410
Prada_44,€ 410
Prada_45,€ 390
Prada_46,€ 370
Prada_47,€ 370
Prada_48,€ 370
Prada_49,€ 370
Prada_50,€ 370
Prada_51,€ 370
Prada_52,€ 360
Prada_53,€ 450
Prada_54,€ 370
Prada_55,€ 370
Prada_56,€ 430
Prada_57,€ 370
Prada_58,€ 370
Prada_59,€ 370
Prada_60,€ 370
Prada_61,€ 370
Prada_62,€ 400
Prada_63,€ 360
Prada_64,€ 410
Prada_65,€ 410
Prada_66,€ 410
Prada_67,€ 410
Prada_68,€ 410
Prada_69,€ 410
Prada_70,€ 450
Prada_71,€ 330
Prada_72,€ 330
Prada_73,€ 350
Prada_74,€ 350
Prada_75,€ 450
Prada_76,€ 350
Prada_77,€ 350
Prada_78,€ 310
Prada_79,€ 310
Prada_80,€ 350
Prada_81,€ 350
Prada_82,€ 310
Prada_83,€ 330
Prada_84,€ 310
Prada_85,€ 450
Prada_86,€ 450
Prada_87,€ 450
Prada_88,€ 450
Prada_89,€ 450
Prada_90,€ 450
Prada_91,€ 350
Prada_92,€ 310
Prada_93,€ 330
Prada_94,€ 350
Prada_95,€ 520
Prada_95,€ 520
